precio,ubicacion,titulo,caracteristicas,area,dormitorios,banos,fecha_publicacion,url,website,search_term,scrape_timestamp,Ciudad,Tipo,Inmueble,Pagina,Fecha_Publicacion
"S/ 3,400 · USD 999 S/ 340 Mantenimiento","Bellavista Miraflores, Lima","Miraflores, Lima",20,105 m² tot.,,,Publicado hace 2 días,"Bello departamento duplex totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, dos baños, sala comedor, cocina., lavanderia, cochera. Alquiler mensual $999 Jacky Arroyo. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Bello departamento duplex totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, dos baños, sala comedor, cocina., lavanderia, cochera. Alquiler mensual $999 Jacky Arroyo. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Bello departamento duplex totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, dos baños, sala comedor, cocina., lavanderia, cochera. Alquiler mensual $999 Jacky Arroyo. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 2 días
"S/ 5,400 · USD 1,590 S/ 790 Mantenimiento","Av. Velasco Astete 1000 Santiago de Surco, Lima","Santiago de Surco, Lima",21,236 m² tot.,,,Publicado hoy,"Dúplex con vista exterior a Av. Velasco Astete con balcón, en 4to piso con ascensor. Primer nivel: Sala comedor con balcón, baño de visitas. Cocina iluminada con espacio para comedor de diario y puerta de servicio. Tiene 03 dormitorios principal con walking closet y baño con tina incorporado), los otros dos comparten un baño. Dos con vista a Velasco Astete y otro con vista a jardin interior. Segundo nivel: Terraza amplia con espacio o si tiene niños para que disfruten con juegos, o si prefiere disfrutar con amigos de una buena parrilla. Un lado esta cubierto con techo sol y sombra de madera caoba. Sala de estar con mampara de vidrio. También un Walking Closet para ropa de invierno. Zona de lavandería con terracita, cuarto y baño de servicio. Hall de recepción con vigilancia 24 horas, cámaras de seguridad y cerco eléctrico. Área común: Jardín y patio interno. Incluye 01 estacionamiento doble lineal y 01 depósito. Zona rodeada de parques. Accesible: A dos cuadras de Av. Primavera, Floresta, a 5 minutos C. C. Chacarilla. Contrato Modalidad: 1 año (2x1) . **Evaluacion de solvencia, tener buen puntaje en Infocorp sin antecedentes negativos**. Visitas: Ver datos / Ver datos",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hoy
"S/ 9,000 · USD 2,600 S/ 1,200 Mantenimiento","Av. de los Precursores Santiago de Surco, Lima","Santiago de Surco, Lima",20,320 m² tot.,,,Publicado hoy,"(Cod. Acaq2006) Precio amoblado: $2, 600. Ubicado en Av. De los Precursores, paralela a la Ctra. Panamericana Sur, cerca a centros de estudio, restaurantes, parques y más. Domotizado Pent-house de dos pisos, tiene la siguiente distribución: 6to piso: Ascensor directo, sala comedor con acceso a terraza, baño de visitas, cocina cerrada, estudio, área de lavandería y área de servicio completo. 5to piso: Ascensor directo, amplia sala de estar, 3 dormitorios (cada uno con baño incorporado y walking closet, principal con tina y acceso a balcón). Precio incluye 3 estacionamientos y un depósito. Precio de mantenimiento S/. 1, 200 aprox. Edificio construido en el año 2015 y se encuentra en excelentes condiciones, cuenta con vigilancia 24 horas. Para mayor información comunicarse al 9 3 4 8 7 6 2 5 6",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hoy
"S/ 3,400 S/ 350 Mantenimiento","La Paz Miraflores, Lima","Miraflores, Lima",24,115 m² tot.,,,Publicado hace 2 días,"Precioso departamento totalmente amoblado y equipado inmejorable ubicacion tres dormitorios, tres baños, sala comedor, cocina., lavanderia, area de servicio, cochera. Alquiler mensual S/3, 400 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion tres dormitorios, tres baños, sala comedor, cocina., lavanderia, area de servicio, cochera. Alquiler mensual S/3, 400 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion tres dormitorios, tres baños, sala comedor, cocina., lavanderia, area de servicio, cochera. Alquiler mensual S/3, 400 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 2 días
"S/ 5,223 · USD 1,550 S/ 650 Mantenimiento","general cordova 135 Miraflores, Lima","Miraflores, Lima",10,130 m² tot.,,,Publicado hace 5 días,"Lindo departamento en la cuadra 1 de general cordova, con linea blanca, cuenta con dos dormitorios + sala de estar. area de servicio completa. 2 estacionamientos en linea y deposito. Area 130m2. 2 dormitorios. 2. 5 baño. Sala de estar. Sala comedor. Balcón. Lavandería. Cuarto baño de servicio. 2 cocheras en línea. Depósito. Alquiler: $1, 550. Mantenimiento s. 650 incluye agua. Gas centralizado terma y cocina gas.",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 5 días
"S/ 3,000 S/ 350 Mantenimiento","Malecón Grau 3xx Frente al mar Piso 11 con Ventanas Antiruido Magdalena, Lima","Magdalena, Lima",26,94 m² tot.,,,Publicado hace 4 días,"Alquiler de moderno departamento amoblado con espectacular vista al mar – Malecón Grau cdra 3, Piso 11 en Magdalena del MarVive la experiencia de despertar cada día frente al océano en uno de los puntos más privilegiados de Magdalena. Este acogedor departamento ubicado en esquina en el piso 11, ofrece una vista panorámica inigualable gracias a sus ventanales de piso a techo en los dormitorios, que llenan cada espacio de luz natural y brindan una sensación de amplitud única. Características destacadas: 94 m² bien distribuidos2 habitaciones amplias con excelente iluminación. Habitación principal con cama queen y baño incorporado. La secundaria es igualmente amplia con cama de 2 plazas. Balcón en habitación. Baño secundario completoSala de estar o cuarto de tvcocina cerrada y lavandería independienteBaño de servicio o puede ser usado como despensaSala comedor con balcón. Ventanas y mamparas anti-ruidos en todo el departamento, garantizando máxima tranquilidad, inclusive en los ambientes internos (cocina, baños) Edificio de 15 pisos (3 departamentos por piso) ubicado frente al Malecón Grau, una de las zonas más valoradas de MagdalenaEste departamento combina confort, modernidad y una ubicación inmejorable para quienes buscan vivir frente al mar sin renunciar a la tranquilidad. Cochera techada en sótano 1 incluida en el precio. Se acepta mascota: solo gatos**se alquila amoblado pero con posibilidad de retirar algunas cosas** disponible para ser ocupado A partir del 15 dic. ¡Agenda tu visita y enamórate de tu próxima vista todos los días!",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 4 días
"S/ 3,192 · USD 950 S/ 360 Mantenimiento","Malecon Miraflores, Lima","Miraflores, Lima",30,105 m² tot.,,,Publicado hace 2 días,"Precioso departamento totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, tres baños, sala comedor, cocina, lavanderia, area de servicio, cochera. Alquiler mensual $950 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, tres baños, sala comedor, cocina, lavanderia, area de servicio, cochera. Alquiler mensual $950 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento totalmente amoblado y equipado inmejorable ubicacion dos dormitorios, tres baños, sala comedor, cocina, lavanderia, area de servicio, cochera. Alquiler mensual $950 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 2 días
"S/ 3,200 · USD 950 S/ 300 Mantenimiento","Av San Martin Barranco, Lima","Barranco, Lima",29,83 m² tot.,,,Publicado hoy,"• El departamento amoblado, ofrece: • 2 Dormitorios amplios. • Sala - Comedor Luminosa, juego de muebles y mesa para 6 personas. • Cocina cerrada totalmente equipada con muebles altos y bajos, cuenta con encimera, refrigerador grande, horno eléctrico, microondas, jarra eléctrica, olla arrocera, Licuadora etc, lavadora. • Balcón amplio con vista al mar, espacio para sentarse y disfrutar la brisa marina. • Sala de estar amplia, con centro de entretenimiento, 1 Sofá, 1 Televisor, cuenta con vitrina bar y una vinera. • Cuenta con dos baños completos y 1 baño de visita. • Estacionamiento privado y seguridad 24h. Áreas Comunes. - Piscina con vista a la terraza. - Sala Zoom. - Gym. - Centro de Lavado. - Sala para usos Múltiples. - Amplios Jardines. Metraje: 83 m² Precio de Alquiler: $ 950. 00",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hoy
"S/ 3,200 S/ 500 Mantenimiento","ANTEQUERA San Isidro, Lima","San Isidro, Lima",29,63 m² tot.,,,Publicado hoy,"Alquiler de departamento, 63 M2, en san isidro. * Área Total: 63 m2. * Departamento de 1 año de antigüedad. Características Generales: * Departamento con vista interna, ubicado en piso 5°. * 06 departamentos por piso. * Tiene 02 ascensores. * El departamento cuenta con finos acabados. * Se alquila sin amoblar. Distribución del Departamento: * 01 Amplio dormitorio principal con walk in closet más baño completo incorporado. * 01 dormitorio secundario con su respectivo walk in closet más baño completo incorporado. * Espaciosa sala comedor con balcón vista externa. * Área de Lavandería tipo closet más terma instalada. * Cocina abierta con tablero de granito, con muebles altos y bajos, con cocina, horno, campana extractora y microondas. * Se permiten mascotas. Áreas Comunes: * Coworking. * Área de lavandería. * Área de parrilla. * Lounge Bar. * Piscina. ubicación Y referencia: Inmueble exactamente ubicado en Antequera San Isidro. A unas cuadras de la Av. Arequipa y la Av. Javier Prado. Alrededor podemos encontrar varios establecimientos reconocidos como: El Hornero Premium, Falabella, Tottus, Plaza Vea, Dollarcity y el Parque Combate de Abtao. Solicitar video del departamento al WhatsApp. * Mantenimiento: S/. 500 soles aprox, que incluye agua, vigilancia 24 horas, limpieza de áreas comunes, alumbrado, incluye el agua del departamento. * precio de alquiler: S/. 3, 200 (Incluye 1 estacionamiento y un depósito) no negociable. contacto hellen salazar cabrera 9. 3. 6. 9. 6. 1. 3. 7. 5. **",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hoy
"S/ 5,150 · USD 1,500 S/ 550 Mantenimiento","Av. La Paz 1691 - Dpto 302 Miraflores, Lima","Miraflores, Lima",25,134 m² tot.,,,Publicado hace 4 días,"Excelente Oportunidad de Vivir a pasos del Malecon y del Parque Meliton PorrasSe alquila departamento en piso 3, vista lateral al marEquipado con Linea BlancaEspacios de sala comedor super amplios! Vive en la mejor zona de Miraflores, a pasos del Malecón Armendáriz y muy cerca de Larcomar. Características del Departamento: Área Total: 134 m²Ubicación: Tercer Piso (con ascensor) Se acepta mascota. Distribución: Amplia y cómoda sala comedor con linda vista. 2 dormitorios + sala de estar + dormitorio y baño de servicio. Dormitorio principal con baño incorporado. Área de servicio completa con lavandería. Baño de visita. Sala de estar. Acabados: El departamento tiene pisos de madera natural en sala comedor y dormitorios. Los baños cuentan con tableros de cuarzo y granito; al igual que la cocina. El departamento goza de mucha luz y ventilación natural. Ubicación: Situado en una de las mejores zonas de Miraflores, a un paso de Barranco. A la espalda del Parque Melitón Porras y cerca de la Quebrada de Armendáriz. Disfruta de una placentera caminata alrededor del mar. Muy cerca del centro comercial Larcomar. Incluye: Una cochera lineal para 2 autos. ¡Aprovecha esta oportunidad única y vive en una ubicación privilegiada! *Imagenes Referenciales. En la visita al departamento podrá visualizar el amoblamiento actual.",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 4 días
"S/ 2,500 S/ 200 Mantenimiento","Morro solar Santiago de Surco, Lima","Santiago de Surco, Lima",21,60 m² tot.,,,Publicado hace 2 días,"Precioso departamento sin amoblar inmejorable ubicacion dos dormitorios, dos baño, sala comedor, cocina, lavanderia. Alquiler mensual S/2, 500 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento sin amoblar inmejorable ubicacion dos dormitorios, dos baño, sala comedor, cocina, lavanderia. Alquiler mensual S/2, 500 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento sin amoblar inmejorable ubicacion dos dormitorios, dos baño, sala comedor, cocina, lavanderia. Alquiler mensual S/2, 500 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 2 días
"S/ 3,390 S/ 350 Mantenimiento","MARISCAL MILLER Lince, Lima","Lince, Lima",16,80 m² tot.,,,Publicado hoy,"Alquiler de hermoso departamento de estreno C/ doble terraza. - Área Total: 80 m2. - Área Construida: 60 m2. Características generales: - Edificio exclusivo de 05 pisos. - ⁠Departamento de estreno. - Departamento ubicado en el 1° piso. - ⁠El edificio tiene un área común de coworking funcional y muy bonita (ver fotos y video). - ⁠El departamento está ubicado en el distrito de Lince, límite con San Isidro. Distribución del departamento: - Amplia e iluminada sala comedor. - 02 áreas de terraza privadas: -Terraza con parrilla. -Terraza amplia con jardín. - Área de cocina estilo americana con amplia barra desayunadora. - Área de lavandería independiente, más terma a gas instalada. - Closet para ropa blanca. - Dormitorio Principal con amplio closet. Mantenimiento: S/. 350 aprox. (Incluye la vigilancia 24/7, limpieza e iluminación en las áreas comunes como pasadizos, escaleras de emergencia, e incluso incluye el consumo de agua). Ubicación Y referencia: . Inmueble ubicado exactamente en Mariscal Miller 2557. . A 1/2 cuadra de la Av. Dos de Mayo, y cercano a la Av. César Vallejo y la Av. Arenales. . Alrededor podemos encontrar diversos establecimientos reconocidos, tales como: Centro comercial Risso, Parque Mariscal Ramón Castilla, Lucio Café, El Hornero, Zen Sushi Bar, Siete Sopas Lince y Belgravia Panadería, entre otros. Precio de alquiler: S/ 3, 390 Soles - Incluye 01 estacionamiento en sótano. Contacto hellen salazar cabrera 9. 3. 6. 9. 6. 1. 3. 7. 5",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hoy
"S/ 2,300 S/ 300 Mantenimiento","AV Universitaria Torre B, Pueblo Libre al 1951 Pueblo Libre, Lima","Pueblo Libre, Lima",6,70 m² tot.,,,Publicado hace 2 días,"Alquiler de departamento en pueblo libre – excelente ubicación Dirección: Av. Universitaria 1965 – Torre B, Pueblo Libre Referencia: Cruce de Av. Universitaria con Av. La Mar, a solo 2 cuadras del C. C. Plaza San Miguel Características del departamento: Ubicado en el piso 16, este acogedor departamento de 70 m² ofrece una excelente distribución y hermosa vista panorámica. Ambientes: Sala – Comedor amplia e iluminadaCocina cerrada con muebles altos y bajos3 dormitorios cómodos (principal con baño incluido) 2 baños completosÁrea de lavandería integrada No cuenta con estacionamiento Mantenimiento: aprox. S/ 250 – 300 (incluye agua, vigilancia y áreas comunes) Beneficios: Zona céntrica y seguraA pocos minutos de Plaza San Miguel, universidades y avenidas principalesEdificio moderno con ascensor y vigilancia 24/7",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 2 días
"S/ 8,400 · USD 2,400 S/ 579 Mantenimiento","MALECON CISNEROS Miraflores, Lima","Miraflores, Lima",28,200 m² tot.,,,Publicado hace 6 días,"Frente al Faro de la Marina – 1 departamento por piso. Precio: usd 2, 400 (sin amoblar) Mantenimiento: S/ 578. 50. Disponibilidad: Desde el 15 de diciembre del 2025. Mascotas: Se acepta 1 mascota pequeña. Características del Departamento. -Área total: 200 m² -Ascensor directo al departamento. -Ascensor de servicio. -Vista panorámica al Océano Pacífico. -Pisos de alto tránsito, porcelanato y mayólica. -Puertas de madera. -Intercomunicador en cocina y dormitorio principal. -Iluminación completa: dicroicos, fluorescentes y plafón según ambiente. Distribución. -Recibo de ingreso. -Sala – comedor amplia con vista al mar. -Baño de visita. -Sala de estar. -Dormitorio principal con baño incorporado y walking closet. -Segundo dormitorio con armario. -Tercer dormitorio con armario. -Baño completo con bañera y bidet. -Cocina grande con muebles altos y bajos. -Lavandería con conexiones para lavadora y secadora. -Cuarto de servicio con baño incorporado. -Therma de 120 litros. -Estacionamientos y Depósito. -2 cocheras paralelas Nº 11 y Nº 21 (13. 6 m² c/u) -Depósito Nº 31 (10 m²) Edificio y Áreas Comunes. -Administración y recepción. -Servicio de guardianía. -Salón de usos múltiples (sum) con kitchenette y baño. -Jardín decorativo frente al sum. -Recepción con sala de espera",urbania,Lima_alquiler_departamento_p2,2025-11-22 23:30:08.734777,Lima,alquiler,departamento,2,Publicado hace 6 días
"S/ 3,000","Irma Gamero de Planas al 100 Santiago de Surco, Lima","Santiago de Surco, Lima",28,200 m² tot.,,,Publicado desde ayer,"Departamento duplex independiente con terraza en alquiler en calle super tranquila frente A parque en tercer piso200 M2 120 M2 primer nivel 80 M2 terraza3000 soles 3 dormitorios 2 baños 1 incorporado cocina sala comedor amplia terraza donde se encuentra cuarto, baño de servicio Y lavanderia 1 cochera no mascotas luz Y agua compartidos tercer piso sin ascensorcondiciones 1 de garantia Y 1 de adelanto",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado desde ayer
"S/ 2,100 S/ 280 Mantenimiento","Grau Barranco, Lima","Barranco, Lima",15,50 m² tot.,,,Publicado hace 2 días,"Precioso departamento sin amoblar inmejorable ubicacion un dormitorio, baño, sala comedor, cocina amerciana. Alquiler mensual S/2, 100 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento sin amoblar inmejorable ubicacion un dormitorio, baño, sala comedor, cocina amerciana. Alquiler mensual S/2, 100 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti! Precioso departamento sin amoblar inmejorable ubicacion un dormitorio, baño, sala comedor, cocina amerciana. Alquiler mensual S/2, 100 Cinthya Gil. 9. 5. 5. 5. 4. 3. 7. 4. 3. -. 9. 2. 5. 8. 0. 3. 3. 2. 6. Tenemos este y mas departamentos en alquiler amoblados sin amoblar con linea blanca. Comunicate con nosotros y encuentra el departamento ideal para ti!",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 2 días
"S/ 2,040 · USD 600 S/ 320 Mantenimiento","Av. Pedro de Osma 203 - Barranco Barranco, Lima","Barranco, Lima",13,60 m² tot.,,,Publicado hace 4 días,"Hermoso departamento de 60 m², recientemente remodelado y ubicado en Barranco. Cuenta con vista externa y una sala-comedor muy iluminada, equipada con Smart tv. La distribución incluye una habitación, un baño completo, cocina totalmente equipada, lavaseca y amoblamiento completo, ideal para una mudanza inmediata. El edificio no cuenta con cochera ni áreas comunes, pero se aceptan mascotas. Las condiciones de alquiler son modalidad 2x1 (dos meses de garantía y un mes de adelanto) y un contrato mínimo de un año.",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 4 días
"S/ 3,864 · USD 1,150 S/ 430 Mantenimiento","Av. Jose Pardo Miraflores, Lima","Miraflores, Lima",19,110 m² tot.,,,Publicado hace 2 días,"Acogedor departamento con vista a la Av. Jose Pardo Cdra 9 - Miraflores. A pocas cuadras de Malecón Cisneros y Malecón de la Marina. Cerca de restaurantes, supermercados, bancos y principales vías de acceso como Av. El Ejercito, Av. La Mar y Av. Comandante Espinar. Vista a calle. Amoblado. Pisos de madera en todo el departamento. Departamento bastante iluminado. Características: - Área: 110. 00m2. - Sala – Comedor con acceso a cómodo balcón con vista a la calle. - Cocina cerrada con reposteros altos y bajos. Comedor de diario. - Baño de visitas. - 03 dormitorios. Dormitorio principal con baño incorporado y vista a la calle. Dormitorios secundarios con acceso a baño externo completo. - Área de lavandería. - Cuarto y baño de servicio. - 01 estacionamiento. Cuota de mantenimiento: S/. 430. 00 soles. Incluye agua. Renta: usd1, 150. 00 dólares. Edificio con áreas comunes: salón de reuniones, área de juegos para niños. Se permite mascota pequeña. Condiciones: 2 meses garantía 1 mes de adelanto. Contrato anual. Contactar. Franklin Suarez.",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 2 días
"S/ 2,000 · USD 588 S/ 250 Mantenimiento","Av. Parque Manuel Gonzales Prada al 100 Magdalena, Lima","Magdalena, Lima",13,40 m² tot.,,,Publicado hace 2 días,"Vive frente al parque y siente que cada día tiene más sentido. No es solo un departamento, es un estilo de vida. Imagina empezar tu día con el verde del Parque Gonzales Prada y terminarlo en tu balcón con una vista que calma. Este espacio de 40 m² combina diseño, tecnología y ubicación estratégica para personas como tú, que valoran los detalles y la practicidad. características principales1 dormitorio acogedor con excelente iluminación natural1 baño completo con diseño modernoCocina americana con tablero de cuarzo, encimera, horno y campana a estrenarRefrigeradora nueva y therma a gas Calidda (3 puntos: cocina, horno y agua caliente) Mampara de vidrio templado hacia el balcón con vista directa al parqueIluminación inteligente (domótica conectada a Alexa) Intercomunicador con video cámaraPisos de porcelanato de alto tránsito1 cochera en sótano 3 con montaauto eléctrico, práctica y seguraParqueo de bicicletasÁrea total: 40 m² – Piso 2ubicación privilegiadaparque Gonzales Prada 103 – Magdalena del Mar, límite con San Isidro. Cerca de todo lo que necesitas: Av. Javier Prado Oeste, Av. Juan de Aliaga, Av. EjércitoReal Plaza Salaverry, Open Plaza, Tottus, Vivanda, bancos y universidadesRestaurantes, cafés, y espacios verdes que realzan tu bienestar. proyecto exclusivo Y eleganteun edificio moderno, seguro y funcional, con diseño arquitectónico de líneas limpias y espacios bien distribuidos. Cada unidad fue pensada para ofrecer comodidad, eficiencia y estilo contemporáneo. condiciones de alquilerrenta mensual: S/ 2, 200 con CocheraRenta mensual: S/ 2, 000 sin CocheraCondiciones: 1 mes de garantía + 1 mes de adelanto (1x1) Contrato mínimo: 1 añoMantenimiento: 220 Aprox. Disponibilidad inmediata – Estreno¿Por qué este departamento es diferente? Porque combina ubicación, diseño, tecnología y tranquilidad. Y lo más importante: te da la sensación de hogar desde el primer momento. Solo hay una unidad Tipo 4 en alquiler y equipamiento completo — y las oportunidades como esta no se repiten. Agenda tu visita hoyContacta ahora y coordina una visita. Sentirás que este lugar fue diseñado pensando en ti. Haz clic en “Contactar anunciante” y reserva tu cita antes de que se alquile. “Vivir frente al parque, con todo a estrenar y controlado por tu voz, no es lujo… es evolución. Escríbeme y te muestro tu próximo hogar antes de que se lo lleven. ”Las imágenes y descripción corresponden al Departamento Tipo 4 – Proyecto Parque Gonzales Prada 103. Equipamiento y mobiliario incluidos según listado en contrato. Aplican políticas de evaluación y renta vigentes.",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 2 días
"S/ 3,200 · USD 945 S/ 400 Mantenimiento","Sergio Bernales 2xx-límite con La Aurora-miraflores Barrio Medico, Surquillo","Barrio Medico, Surquillo",15,73 m² tot.,,,Publicado hace 2 días,"Llegaste a la mejor opción: tu próximo hogar te está esperando en Barrio Médico – Surquillo, límite con MirafloresEste moderno departamento de 73 m², llega totalmente amoblado y listo para mudarte con una maleta y nada más. Un espacio diseñado para quienes buscan comodidad, ubicación estratégica y estilo. Características principales: Sala comedor con cocina americana y balcón3 dormitorios amplios y bien distribuidos (El principal con baño incorporado) Baño completo para dormitorios secundarios y visitasClóset lavandería1 estacionamiento de fácil accesoDepartamento en excelente estado, moderno y funcionalFull amoblado top: muebles, línea blanca y todo lo necesario para vivir desde el día unoUbicación inmejorable: En pleno Barrio Médico – Surquillo, a pasos del límite con Miraflores (pero pagando mucho menos por los arbitrios). Movilidad, comercios, gastronomía y todo lo que necesitas… literalmente, a la mano. Edificio con seguridad 24/7 y áreas comunes para disfrutar: Disfruta de espacios pensados para tu bienestar y comodidad: sala de coworking, terraza con zona de parrillas, terraza para yoga, sala de niños). Disponible desde el 01/12Costo de mantenimiento: S/400 soles aproximadamente. Costo de arbitrios: S/25 soles mensualesAgenda tu visita de una vez! *T. C referencial*costo de mantenimiento aproximado",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 2 días
"S/ 3,740 · USD 1,100 S/ 548 Mantenimiento","Av. Angamos Oeste, Miraflores Miraflores, Lima","Miraflores, Lima",11,122 m² tot.,,,Publicado hace 3 días,"Lindo duplex en alquiler con vista al parque Baden Powell en pisos 8 y 9. Sin amoblar. Primera planta: Sala comedor, cocina abierta equipada, alacena, habitación con baño completo incluido. Segunda planta: sala de estar/tv, amplia terraza, con vista al parque, baño de visita. Area de lavandería. 2 estacionamiento lineales. Guardianía 24/7. Mantenimiento S/. 564. 00. A pocas cuadras del Ovalo Gutierrez, Wong, Cine Planet, Iglesia, Parques y Colegios. Lindos parques cerca.",urbania,Lima_alquiler_departamento_p3,2025-11-22 23:31:20.228289,Lima,alquiler,departamento,3,Publicado hace 3 días
